很不错，地理位置也很好，老板人很随和环境也不错，很卫生干净很喜欢值得订购哦。我也说不出其他的话，总的来说就是非常非常的好。,环境,positive,位置,positive,卫生,positive,老板,positive,,,,
位置很好找，地铁公交也方便，小区里吃的还比较方便实惠。房东人还不错。首先价格便宜，太高要求就不合适了。,位置,positive,价格,positive,,,,,,,,
这几天住的最好的一次，在北京这个地段，能有这么好的环境，而且还是这个价位。已经非常难得了，住着舒服。,环境,positive,,,,,,,,,,
老板人很好，服务也很周到，周围也有很多购物吃饭的地方，很不错,服务,positive,老板,positive,,,,,,,,
老板都很热情，还下楼来接，每天有专人打扫卫生，很干净，小区位置挺好的，旁边就是双井地铁站，出行比较方便，对了还有免费wifi冰箱洗衣机空调哦，住得很舒服,位置,positive,卫生,positive,老板,positive,,,,,,
环境很好 老板人很好,环境,positive,老板,positive,,,,,,,,
地理位置不邋,位置,positive,,,,,,,,,,
住着舒服 卫生好 服务态度也好,态度,positive,服务,positive,卫生,positive,,,,,,
还行吧，比较适合年轻人，经济实惠，位置也好，比之前住的青旅要好很多，大厅不住人，确实干净整洁的多，人比较少。,位置,positive,,,,,,,,,,
老板人很好，环境也不错。,环境,positive,老板,positive,,,,,,,,
刚到北京北漂，住到这里很幸运，干净卫生就不用说了，最主要的是氛围好，主要是老板把大家当自己家人，感到很温馨。力荐。,卫生,positive,老板,positive,氛围,positive,,,,,,
可以的，值得推荐！清净，干净，宿舍气氛安宁和谐。店主态度真诚，服务周到，主要是价格经济实惠，旅行，学习的最佳方案,态度,positive,服务,positive,价格,positive,氛围,positive,,,,
老板热情住的挺好,老板,positive,,,,,,,,,,
老板人挺好相处的。,老板,positive,,,,,,,,,,
第一次住，感觉挺不错，和大家在一起像大学宿舍一样，聊聊天不会觉得无聊，最重要的是，价格实惠，地理位置也方便，走几步就到地铁站。,位置,positive,价格,positive,,,,,,,,
有洗澡，拖鞋，热饮水，上下床铺一张，室内干净，整洁，小区地点好，靠近地铁站，小区外面就很多饮食店和商场，方便。很好。店家人也随和。不错,室内,positive,店家,positive,,,,,,,,
大叔人很和善，房间有点挤，但是北京寸土寸金的也可以理解，设施比较齐全，有私人储物柜,设施,positive,大叔,positive,,,,,,,,
靠近地铁站 交通便利。附近也可解决三餐。第一次来北京，体验相当好，感谢大叔 下次再来,交通,positive,,,,,,,,,,
还不错 老板人可以,老板,positive,,,,,,,,,,
便宜实惠老板态度也很好实在人房子干净漂亮服务很周到出行方便,态度,positive,服务,positive,老板,positive,房子,positive,,,,
物美价廉，经济实惠，环境好，交通方便。,环境,positive,交通,positive,,,,,,,,
老板人好，还做饭给我们吃，住的舒适，特别好,老板,positive,,,,,,,,,,
房间特别温馨,房间,positive,,,,,,,,,,
老板人很好,老板,positive,,,,,,,,,,
不错，老板人好 感觉不错价格合理,价格,positive,老板,positive,,,,,,,,
老板人很好,老板,positive,,,,,,,,,,
大叔很好服务牛逼环境牛逼啥都牛逼,环境,positive,服务,positive,,,,,,,,
酒店位置挺好的，交通方便,位置,positive,交通,positive,,,,,,,,
位置挺好找的,位置,positive,,,,,,,,,,
挺好的，便宜干净，老板人挺不错，位置方便，离地铁进，老板热情，推荐！！！,位置,positive,老板,positive,,,,,,,,
总体上对的起这价格吧,价格,neutral,,,,,,,,,,
挺好的，老板实在，不错,老板,positive,,,,,,,,,,
环境好，服务好，房东态度好,态度,positive,环境,positive,服务,positive,,,,,,
房东大叔人还不错，有什么问题都能给解决，楼下吃饭购物都挺方便，价格也不贵，离双井地铁站也很近，就是屋里人形形色色的，空气不太好，总抽烟受不了。,价格,positive,房东,positive,空气,negative,,,,,,
房东人很好，房间很干净，每天都有人打扫卫生，到小区有人接，小区很方便，特别好的青旅，下次还会来的,房东,positive,房间,positive,卫生,positive,,,,,,
房间比较干净，整洁，老板服务热情，很帮忙，让旅途中的我感觉很温馨,服务,positive,老板,positive,房间,positive,,,,,,
公寓位于帝都三环处 ，共享单车，城市公交地铁等交通方式方便，公寓价格优惠，吃行用等方面都很方便，房东服务好。,交通,positive,服务,positive,价格,positive,,,,,,
房间很整洁，楼下有超市和餐厅也很便利，关键是房东大叔人超级好的！以后有机会的话还会再来住的！,房间,positive,房东,positive,,,,,,,,
大叔人很好 在双井附近位置也方便 环境的话跟大学宿舍差不多吧,环境,positive,位置,positive,大叔,positive,,,,,,
位置不错 离地铁双井很近。房间六张床，房东房间也在房子里，比较安静 。房东人也很不错,位置,positive,房东,positive,,,,,,,,
服务非常好，物美价廉，非常适合临时住宿，感谢房东大叔，还会下次光临，谢谢,服务,positive,,,,,,,,,,
青年公寓，条件简陋,条件,negative,,,,,,,,,,
房间卫生太差,卫生,negative,,,,,,,,,,
地址位置很好，地铁公交都很近，交通、吃饭、购物都方便，服务态度也不错。卫生间脏乱差，不忍直视。 ,态度,positive,位置,positive,交通,positive,服务,positive,卫生,negative,,
是一套房子改的样子环境特别差，女生千万别住，蟑螂老鼠特别多,环境,negative,,,,,,,,,,
周边配套比较方便，地铁出行方便，老板热情，房间干净整洁，下次还会来住，谢谢老板的关照啊！,配套,positive,老板,positive,,,,,,,,
大叔人好，服务态度好,大叔,positive,服务,positive,,,,,,,,
地方很好，房东很棒,地方,positive,房东,positive,,,,,,,,
青旅位置很好，离地铁近，虽然是床位房但大家都很安静没有互相打扰，睡觉睡的很好。华姐是东北人，待人真诚热心。下次来北京还会来这儿,位置,positive,姐,positive,,,,,,,,
"在北京地界,这个价位很不错,房子环境简陋了些,但该有的都有,老板东北年人,很直爽,适合穷游行,经济型及长时间居住朋友适合居住!",房子,positive,老板,positive,,,,,,,,
首先要说一下，老板人挺好的，枕头套床单被套业很干净，床很舒服，接下来我要吐槽了，卫生间太脏了！,老板,positive,枕头,positive,床,positive,卫生间,negative,,,,
卫生环境太差了，没有四人房还不撤销也不能退房，客厅也是乱七八糟的,卫生,negative,客厅,negative,,,,,,,,
位置还行，在火车站附近。但是这个卫生条件也实在不想多说什么，被套床单感觉都没有换，明显看出脏的了，屋里住的人也不咋样。,位置,positive,卫生,negative,,,,,,,,
都是常驻的，卫生很差，住过被褥不会换，上面还有鼻屎，床摇摇欲坠，半夜两点多还有常驻的回来，空气和安全都很不好,卫生,negative,空气,negative,安全,negative,,,,,,
环境不好啊..电梯坏的，小区里面...贴满了广告单,环境,negative,,,,,,,,,,
位置偏 卫生差 服务不好,位置,negative,服务,negative,卫生,negative,,,,,,
价格不贵，卫生还好，就是房间臭的让人恶心。下午7点多入住，睡了3个小时。实在受不了，定金不要就退房走了,价格,positive,卫生,negative,,,,,,,,
垃圾堆的地方，脏乱差,地方,negative,,,,,,,,,,
环境一般，有噪音，服务很好。给我苹果啊,环境,neutral,服务,positive,,,,,,,,
一码归一码 虽然老板人很好沟通 但是居住环境 嘈杂程度与安全都很不尽如人意。,老板,positive,环境,negative,,,,,,,,
环境一般,环境,neutral,,,,,,,,,,
这是一个极其劣质的旅舍，什么乱七八糟的人都有，而且老板是一个极其劣质的男人，微信已给他转账房费，他事后把交易记录删除了，抵赖我没有付款。,旅社,negative,老板,negative,,,,,,,,
厕纸也不提供 马桶没水 不能冲厕所也是绝了 十楼的环境可怕的也是绝了 门也是一直响 被子渣还扎人 我觉得除了离地铁站比较近外真的条件差,环境,negative,厕所,negative,被子,negative,条件,negative,,,,
垃圾，一晚上都快没睡着不想解释，没有任何服务 被子床单估计一年难洗几次,服务,negative,被子,negative,,,,,,,,
被子有味道很难闻,被子,negative,,,,,,,,,,
卫生太差了！不过价格在那,价格,negative,卫生,neutral,,,,,,,,
位置不错，卫生条件差,位置,positive,卫生,negative,,,,,,,,
环境太差，不如坐旅馆(浴场),环境,negative,,,,,,,,,,
老板打电话不接，发信息也不回,老板,negative,,,,,,,,,,
室内无卫生间，卫生一般！,卫生,neutral,,,,,,,,,,
老板亲自下楼去接的我，还帮我们搬行李，人很热情呢！房间很大，很干净！总体感觉很温馨！到点就熄灯，睡得很舒服！这点很人性化呀！,老板,positive,房间,positive,,,,,,,,
房间很干净 很卫生 服务员态度也非常好 酒店交通便利 电视也很大 信号很好 床很舒服 很软 超级喜欢,态度,positive,交通,positive,服务,positive,卫生,positive,,,,
旅舍地理位置不错，距离地铁站挺近的出行方便，价格也便宜，在北京能找到那么便宜位置也不错的地方很不容易了,位置,positive,价格,positive,,,,,,,,
里面环境很好，都是木质床。出门地铁公交车都很多，北京遍地都是共享单车。屋里每天都有阿姨打扫卫生。被子枕头无敌舒服，亲肤不刺激啊。下次还来。必须赞一个！,环境,positive,卫生,positive,被子,positive,枕头,positive,,,,
挺好的，第二次入住了，来北京玩，第一天和最后一天都住的这里，环境卫生，最关键喜欢氛围～满意,环境,positive,卫生,positive,氛围,positive,,,,,,
老板90后 人超好 有吃有喝有玩 大家一起很热闹,老板,positive,,,,,,,,,,
居住环境很好，房客也都很好相处，下次还会再来,环境,positive,,,,,,,,,,
挺满意的，来旅游，交通方便，卫生干净，最关键老板人挺好，大家气氛都不错，第一次体验青旅，哈哈哈，年轻人扎堆，氛围特别好。,交通,positive,卫生,positive,老板,positive,氛围,positive,,,,
之前住过好多次青旅这里给我的感觉是最棒的！房间特别干净！老板人也特别好服务周到，设施也特别齐全！,房间,positive,服务,positive,设施,positive,老板,positive,,,,
来北京这几天，完全把这里当成自己家了。房东哥哥东北人，炒鸡好。每天都有漂亮阿姨打扫卫生。离地铁很近。一百米就能看见。性价比绝对棒。以后来北京还回来,卫生,positive,性价比,positive,房东,positive,,,,,,
之前也住几过家青旅他家绝对是最好的了没有之一！老板特别热情人也特别好服务周到，房间也特别清新干净给人一种特别舒服的感觉，设施配套也特别齐全，客厅也超大！,房间,positive,设施,positive,老板,positive,客厅,positive,,,,
位置很好 临近地铁口 出行方便 第一次来北京 对景点不熟悉 老板很热情 给我计划行程 告诉我哪儿比较好玩 房间很温馨 很干净 很满意 下次还来住,位置,positive,老板,positive,房间,positive,,,,,,
老板人nice，设施也很方便，卫生环境也不错，舍友友好，住过气氛最融洽的青旅，还会再光顾的。,环境,positive,设施,positive,氛围,positive,老板,positive,,,,
老板人超好，典型的东北爷们，而且特别幽默。整体环境也不错，主要还超级便宜，下次来一定还会再选这里。,环境,positive,老板,positive,,,,,,,,
交通也方便，公交很多，地铁十里河很近。 老板大林人挺热情客气的 小区安全搞得不错，进出小区，电梯都要刷卡。,交通,positive,老板,positive,安全,positive,,,,,,
附近交通很方便，房间也很温馨，住客都是年轻人相处下来完全就是失散多年的老同学，哈哈 ，最后老板有点小帅,交通,positive,老板,positive,房间,positive,,,,,,
"店家小哥人帅又nice, 非常细心，态度也特别好。",态度,positive,,,,,,,,,,
住了很多次了，位置卫生都很好,位置,positive,卫生,positive,,,,,,,,
房东人很好呦，住户也不错。,房东,positive,,,,,,,,,,
住了几次了，交通和环境很不错,环境,positive,交通,positive,,,,,,,,
离北京站很近，卫生干净,卫生,positive,,,,,,,,,,
还行吧，住在28层最高层，交通挺便利，生活挺方便，大多是青年求职者集中居住地，像我这种出来玩儿的也能凑合，注意保管好财务就行。,交通,positive,,,,,,,,,,
位置好，房间干净，房东人好,位置,positive,房间,positive,房东,positive,,,,,,
非常好，值得住，阿姨和小哥哥都很好,阿姨,positive,小哥哥,positive,,,,,,,,
服务很差，交通方便，环境不错，性价比很差 ,交通,positive,环境,positive,服务,negative,性价比,negative,,,,
服务很差，交通方便，性价比很差，环境不错 ,交通,positive,环境,positive,服务,negative,性价比,negative,,,,
服务很差，环境不错，交通方便，性价比很差 ,交通,positive,环境,positive,服务,negative,性价比,negative,,,,
服务很差，环境不错，性价比很差，交通方便 ,交通,positive,环境,positive,服务,negative,性价比,negative,,,,
服务很差，性价比很差，交通方便，环境不错 ,交通,positive,环境,positive,服务,negative,性价比,negative,,,,
服务很差，性价比很差，环境不错，交通方便 ,交通,positive,环境,positive,服务,negative,性价比,negative,,,,
交通方便，服务很差，环境不错，性价比很差 ,交通,positive,环境,positive,服务,negative,性价比,negative,,,,
交通方便，服务很差，性价比很差，环境不错 ,交通,positive,环境,positive,服务,negative,性价比,negative,,,,
交通方便，环境不错，服务很差，性价比很差 ,交通,positive,环境,positive,服务,negative,性价比,negative,,,,
交通方便，环境不错，性价比很差，服务很差 ,交通,positive,环境,positive,服务,negative,性价比,negative,,,,
交通方便，性价比很差，服务很差，环境不错 ,交通,positive,环境,positive,服务,negative,性价比,negative,,,,
交通方便，性价比很差，环境不错，服务很差 ,交通,positive,环境,positive,服务,negative,性价比,negative,,,,
环境不错，服务很差，交通方便，性价比很差 ,交通,positive,环境,positive,服务,negative,性价比,negative,,,,
环境不错，服务很差，性价比很差，交通方便 ,交通,positive,环境,positive,服务,negative,性价比,negative,,,,
环境不错，交通方便，服务很差，性价比很差 ,交通,positive,环境,positive,服务,negative,性价比,negative,,,,
环境不错，交通方便，性价比很差，服务很差 ,交通,positive,环境,positive,服务,negative,性价比,negative,,,,
环境不错，性价比很差，服务很差，交通方便 ,交通,positive,环境,positive,服务,negative,性价比,negative,,,,
环境不错，性价比很差，交通方便，服务很差 ,交通,positive,环境,positive,服务,negative,性价比,negative,,,,
性价比很差，服务很差，交通方便，环境不错 ,交通,positive,环境,positive,服务,negative,性价比,negative,,,,
性价比很差，服务很差，环境不错，交通方便 ,交通,positive,环境,positive,服务,negative,性价比,negative,,,,
性价比很差，交通方便，服务很差，环境不错 ,交通,positive,环境,positive,服务,negative,性价比,negative,,,,
性价比很差，交通方便，环境不错，服务很差 ,交通,positive,环境,positive,服务,negative,性价比,negative,,,,
性价比很差，环境不错，服务很差，交通方便 ,交通,positive,环境,positive,服务,negative,性价比,negative,,,,
性价比很差，环境不错，交通方便，服务很差 ,交通,positive,环境,positive,服务,negative,性价比,negative,,,,
我觉得老板人很好，位置真的很差，卫生间很脏，隔音很好，完全听不到旁边的声音，网络信号也很差，根本无法上网 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
我觉得老板人很好，位置真的很差，卫生间很脏，网络信号也很差，根本无法上网，隔音很好，完全听不到旁边的声音 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
我觉得老板人很好，位置真的很差，隔音很好，完全听不到旁边的声音，卫生间很脏，网络信号也很差，根本无法上网 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
我觉得老板人很好，位置真的很差，隔音很好，完全听不到旁边的声音，网络信号也很差，根本无法上网，卫生间很脏 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
我觉得老板人很好，位置真的很差，网络信号也很差，根本无法上网，卫生间很脏，隔音很好，完全听不到旁边的声音 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
我觉得老板人很好，位置真的很差，网络信号也很差，根本无法上网，隔音很好，完全听不到旁边的声音，卫生间很脏 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
我觉得老板人很好，卫生间很脏，位置真的很差，隔音很好，完全听不到旁边的声音，网络信号也很差，根本无法上网 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
我觉得老板人很好，卫生间很脏，位置真的很差，网络信号也很差，根本无法上网，隔音很好，完全听不到旁边的声音 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
卫生间很脏，隔音很好，完全听不到旁边的声音，我觉得老板人很好，位置真的很差，网络信号也很差，根本无法上网 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
卫生间很脏，网络信号也很差，根本无法上网，位置真的很差，我觉得老板人很好，隔音很好，完全听不到旁边的声音 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
卫生间很脏，网络信号也很差，根本无法上网，位置真的很差，隔音很好，完全听不到旁边的声音，我觉得老板人很好 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
卫生间很脏，网络信号也很差，根本无法上网，隔音很好，完全听不到旁边的声音，我觉得老板人很好，位置真的很差 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
我觉得老板人很好，卫生间很脏，网络信号也很差，根本无法上网，位置真的很差，隔音很好，完全听不到旁边的声音 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
我觉得老板人很好，卫生间很脏，网络信号也很差，根本无法上网，隔音很好，完全听不到旁边的声音，位置真的很差 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
我觉得老板人很好，隔音很好，完全听不到旁边的声音，位置真的很差，卫生间很脏，网络信号也很差，根本无法上网 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
我觉得老板人很好，隔音很好，完全听不到旁边的声音，网络信号也很差，根本无法上网，位置真的很差，卫生间很脏 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
位置真的很差，我觉得老板人很好，卫生间很脏，网络信号也很差，根本无法上网，隔音很好，完全听不到旁边的声音 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
位置真的很差，我觉得老板人很好，隔音很好，完全听不到旁边的声音，卫生间很脏，网络信号也很差，根本无法上网 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
位置真的很差，我觉得老板人很好，隔音很好，完全听不到旁边的声音，网络信号也很差，根本无法上网，卫生间很脏 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
位置真的很差，卫生间很脏，隔音很好，完全听不到旁边的声音，网络信号也很差，根本无法上网，我觉得老板人很好 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
位置真的很差，卫生间很脏，网络信号也很差，根本无法上网，我觉得老板人很好，隔音很好，完全听不到旁边的声音 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
位置真的很差，卫生间很脏，网络信号也很差，根本无法上网，隔音很好，完全听不到旁边的声音，我觉得老板人很好 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
位置真的很差，隔音很好，完全听不到旁边的声音，我觉得老板人很好，卫生间很脏，网络信号也很差，根本无法上网 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
位置真的很差，隔音很好，完全听不到旁边的声音，我觉得老板人很好，网络信号也很差，根本无法上网，卫生间很脏 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
位置真的很差，隔音很好，完全听不到旁边的声音，卫生间很脏，我觉得老板人很好，网络信号也很差，根本无法上网 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
位置真的很差，隔音很好，完全听不到旁边的声音，卫生间很脏，网络信号也很差，根本无法上网，我觉得老板人很好 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
位置真的很差，隔音很好，完全听不到旁边的声音，网络信号也很差，根本无法上网，我觉得老板人很好，卫生间很脏 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
位置真的很差，隔音很好，完全听不到旁边的声音，网络信号也很差，根本无法上网，卫生间很脏，我觉得老板人很好 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
位置真的很差，网络信号也很差，根本无法上网，我觉得老板人很好，卫生间很脏，隔音很好，完全听不到旁边的声音 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
位置真的很差，网络信号也很差，根本无法上网，我觉得老板人很好，隔音很好，完全听不到旁边的声音，卫生间很脏 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
位置真的很差，网络信号也很差，根本无法上网，卫生间很脏，我觉得老板人很好，隔音很好，完全听不到旁边的声音 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
位置真的很差，网络信号也很差，根本无法上网，卫生间很脏，隔音很好，完全听不到旁边的声音，我觉得老板人很好 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
位置真的很差，网络信号也很差，根本无法上网，隔音很好，完全听不到旁边的声音，我觉得老板人很好，卫生间很脏 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
隔音很好，完全听不到旁边的声音，网络信号也很差，根本无法上网，位置真的很差，卫生间很脏，我觉得老板人很好 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
隔音很好，完全听不到旁边的声音，网络信号也很差，根本无法上网，卫生间很脏，我觉得老板人很好，位置真的很差 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
隔音很好，完全听不到旁边的声音，网络信号也很差，根本无法上网，卫生间很脏，位置真的很差，我觉得老板人很好 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
网络信号也很差，根本无法上网，我觉得老板人很好，位置真的很差，卫生间很脏，隔音很好，完全听不到旁边的声音 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
网络信号也很差，根本无法上网，我觉得老板人很好，位置真的很差，隔音很好，完全听不到旁边的声音，卫生间很脏 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
网络信号也很差，根本无法上网，我觉得老板人很好，卫生间很脏，位置真的很差，隔音很好，完全听不到旁边的声音 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
网络信号也很差，根本无法上网，我觉得老板人很好，卫生间很脏，隔音很好，完全听不到旁边的声音，位置真的很差 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
网络信号也很差，根本无法上网，我觉得老板人很好，隔音很好，完全听不到旁边的声音，位置真的很差，卫生间很脏 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
网络信号也很差，根本无法上网，我觉得老板人很好，隔音很好，完全听不到旁边的声音，卫生间很脏，位置真的很差 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
网络信号也很差，根本无法上网，位置真的很差，我觉得老板人很好，卫生间很脏，隔音很好，完全听不到旁边的声音 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
网络信号也很差，根本无法上网，位置真的很差，我觉得老板人很好，隔音很好，完全听不到旁边的声音，卫生间很脏 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
网络信号也很差，根本无法上网，隔音很好，完全听不到旁边的声音，我觉得老板人很好，位置真的很差，卫生间很脏 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
网络信号也很差，根本无法上网，隔音很好，完全听不到旁边的声音，我觉得老板人很好，卫生间很脏，位置真的很差 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
网络信号也很差，根本无法上网，隔音很好，完全听不到旁边的声音，位置真的很差，我觉得老板人很好，卫生间很脏 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
网络信号也很差，根本无法上网，隔音很好，完全听不到旁边的声音，位置真的很差，卫生间很脏，我觉得老板人很好 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
网络信号也很差，根本无法上网，隔音很好，完全听不到旁边的声音，卫生间很脏，我觉得老板人很好，位置真的很差 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
网络信号也很差，根本无法上网，隔音很好，完全听不到旁边的声音，卫生间很脏，位置真的很差，我觉得老板人很好 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
卫生间很脏，位置真的很差，我觉得老板人很好，网络信号也很差，根本无法上网，隔音很好，完全听不到旁边的声音 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
卫生间很脏，位置真的很差，隔音很好，完全听不到旁边的声音，我觉得老板人很好，网络信号也很差，根本无法上网 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
卫生间很脏，位置真的很差，隔音很好，完全听不到旁边的声音，网络信号也很差，根本无法上网，我觉得老板人很好 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
卫生间很脏，位置真的很差，网络信号也很差，根本无法上网，我觉得老板人很好，隔音很好，完全听不到旁边的声音 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
卫生间很脏，位置真的很差，网络信号也很差，根本无法上网，隔音很好，完全听不到旁边的声音，我觉得老板人很好 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
卫生间很脏，隔音很好，完全听不到旁边的声音，我觉得老板人很好，位置真的很差，网络信号也很差，根本无法上网 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
卫生间很脏，我觉得老板人很好，网络信号也很差，根本无法上网，位置真的很差，隔音很好，完全听不到旁边的声音 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
卫生间很脏，网络信号也很差，根本无法上网，隔音很好，完全听不到旁边的声音，位置真的很差，我觉得老板人很好 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
隔音很好，完全听不到旁边的声音，我觉得老板人很好，位置真的很差，卫生间很脏，网络信号也很差，根本无法上网 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
隔音很好，完全听不到旁边的声音，我觉得老板人很好，位置真的很差，网络信号也很差，根本无法上网，卫生间很脏 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
隔音很好，完全听不到旁边的声音，我觉得老板人很好，卫生间很脏，位置真的很差，网络信号也很差，根本无法上网 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
隔音很好，完全听不到旁边的声音，我觉得老板人很好，卫生间很脏，网络信号也很差，根本无法上网，位置真的很差 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
隔音很好，完全听不到旁边的声音，我觉得老板人很好，网络信号也很差，根本无法上网，位置真的很差，卫生间很脏 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
隔音很好，完全听不到旁边的声音，我觉得老板人很好，网络信号也很差，根本无法上网，卫生间很脏，位置真的很差 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
隔音很好，完全听不到旁边的声音，位置真的很差，我觉得老板人很好，卫生间很脏，网络信号也很差，根本无法上网 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
隔音很好，完全听不到旁边的声音，位置真的很差，我觉得老板人很好，网络信号也很差，根本无法上网，卫生间很脏 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
隔音很好，完全听不到旁边的声音，位置真的很差，卫生间很脏，我觉得老板人很好，网络信号也很差，根本无法上网 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
隔音很好，完全听不到旁边的声音，位置真的很差，卫生间很脏，网络信号也很差，根本无法上网，我觉得老板人很好 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
隔音很好，完全听不到旁边的声音，位置真的很差，网络信号也很差，根本无法上网，我觉得老板人很好，卫生间很脏 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
隔音很好，完全听不到旁边的声音，位置真的很差，网络信号也很差，根本无法上网，卫生间很脏，我觉得老板人很好 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
隔音很好，完全听不到旁边的声音，位置真的很差，卫生间很脏，我觉得老板人很好，网络信号也很差，根本无法上网 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
隔音很好，完全听不到旁边的声音，位置真的很差，卫生间很脏，网络信号也很差，根本无法上网，我觉得老板人很好 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
隔音很好，完全听不到旁边的声音，位置真的很差，网络信号也很差，根本无法上网，我觉得老板人很好，卫生间很脏 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
